user_id,source_pool,source_license,dest_platform,source_platform,dest_license,pool_percentage,training_requirement,migration_date,status
USR-0071,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-02-09,Migrated
USR-0072,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-11-16,Pending
USR-0073,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-08-22,Pending
USR-0074,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-07-21,Migrated
USR-0075,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-17,Pending
USR-0076,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-11-29,Pending
USR-0077,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-06-13,Migrated
USR-0078,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-09-02,Pending
USR-0079,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-06-12,Pending
USR-0080,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-09-08,Migrated
USR-0081,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-06-15,Migrated
USR-0082,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-07-20,Pending
USR-0083,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-04-12,Pending
USR-0084,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-12-15,Pending
USR-0085,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-08-24,Migrated
USR-0086,Pool_3,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-05-29,Migrated
USR-0087,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-07-28,Migrated
USR-0088,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-06-04,Migrated
USR-0089,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-08-04,Migrated
USR-0090,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-11-02,Migrated
USR-0091,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-09-16,Pending
USR-0092,Pool_2,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Directed,2024-08-02,Migrated
USR-0093,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-07-03,Pending
USR-0094,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-10-31,Migrated
USR-0095,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-05-07,Pending
USR-0096,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-11-27,Migrated
USR-0097,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-11-26,Pending
USR-0098,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-06-18,Migrated
USR-0099,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-01-06,Migrated
USR-0100,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-09-22,Migrated
USR-0101,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-04-23,Pending
USR-0102,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-12-13,Pending
USR-0103,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-25,Pending
USR-0104,Pool_2,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-05-31,Migrated
USR-0105,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-02-29,Pending
USR-0106,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-06-27,Migrated
USR-0107,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-04-15,Pending
USR-0108,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-02-19,Pending
USR-0109,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-12,Pending
USR-0110,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-12-29,Migrated
USR-0111,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-11-27,Migrated
USR-0112,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-05-04,Migrated
USR-0113,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-18,Pending
USR-0114,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-04-28,Pending
USR-0115,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-04-05,Migrated
USR-0116,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-01-15,Pending
USR-0117,Pool_5,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Directed,2024-08-18,Migrated
USR-0118,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-12-26,Pending
USR-0119,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-12-26,Migrated
USR-0120,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-02-22,Migrated
USR-0121,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-07-06,Migrated
USR-0122,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-05-14,Pending
USR-0123,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-11-23,Migrated
USR-0124,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-19,Pending
USR-0125,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-08-22,Pending
USR-0126,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-12-27,Pending
USR-0127,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Directed,2024-10-29,Migrated
USR-0128,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-03-01,Migrated
USR-0129,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-07-10,Migrated
USR-0130,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-08-02,Migrated
USR-0131,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-08-04,Pending
USR-0132,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-12-21,Migrated
USR-0133,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Directed,2024-03-29,Migrated
USR-0134,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-03-12,Pending
USR-0135,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-11-13,Migrated
USR-0136,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-01-05,Migrated
USR-0137,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-15,Pending
USR-0138,Pool_3,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-09-10,Migrated
USR-0139,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-12-29,Pending
USR-0140,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-02-12,Migrated
USR-0141,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-04-22,Pending
USR-0142,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-10-02,Migrated
USR-0143,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-10-16,Migrated
USR-0144,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-10-08,Migrated
USR-0145,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-05-17,Pending
USR-0146,Pool_5,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-07-06,Migrated
USR-0147,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-08-13,Pending
USR-0148,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-02-22,Pending
USR-0149,Pool_5,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-05-06,Migrated
USR-0150,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-08-18,Migrated
USR-0151,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-02-14,Migrated
USR-0152,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-05-01,Pending
USR-0153,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-12-18,Migrated
USR-0154,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-11-19,Pending
USR-0155,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-04-15,Pending
USR-0156,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-10-18,Migrated
USR-0157,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-10-02,Pending
USR-0158,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-05-29,Migrated
USR-0159,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-09-20,Migrated
USR-0160,Pool_3,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-02-18,Migrated
USR-0161,Pool_5,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-07-29,Migrated
USR-0162,Pool_2,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Directed,2024-12-01,Migrated
USR-0163,Pool_5,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-05-07,Migrated
USR-0164,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-05-06,Migrated
USR-0165,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-09-07,Migrated
USR-0166,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-11-17,Migrated
USR-0167,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-11-20,Pending
USR-0168,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-07-25,Migrated
USR-0169,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-07,Pending
USR-0170,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-10-24,Pending
USR-0171,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-02-17,Migrated
USR-0172,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-12-06,Migrated
USR-0173,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Directed,2024-09-30,Migrated
USR-0174,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-04-18,Pending
USR-0175,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-05-25,Pending
USR-0176,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-10-16,Pending
USR-0177,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-12-15,Migrated
USR-0178,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-11-16,Migrated
USR-0179,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-03-04,Migrated
USR-0180,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-08-21,Migrated
USR-0181,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-04-13,Migrated
USR-0182,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Directed,2024-11-28,Migrated
USR-0183,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-05-20,Pending
USR-0184,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-02-12,Migrated
USR-0185,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-03-25,Pending
USR-0186,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-12-24,Migrated
USR-0187,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-02-16,Migrated
USR-0188,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-09-01,Migrated
USR-0189,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-09-22,Migrated
USR-0190,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-12-22,Migrated
USR-0191,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-08-04,Pending
USR-0192,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-04-27,Migrated
USR-0193,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-02-22,Pending
USR-0194,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-06-02,Migrated
USR-0195,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-03-09,Migrated
USR-0196,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-02-05,Pending
USR-0197,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-11-28,Pending
USR-0198,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-04-19,Migrated
USR-0199,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-29,Pending
USR-0200,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-04-21,Pending
USR-0201,Pool_5,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-03-04,Migrated
USR-0202,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-08-07,Pending
USR-0203,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-05-21,Pending
